n,f,starting_nodes,message_complexity,broadcasts,latency,network_connectivity
20,1,1,4828,1,2.419649600982666,3
17,1,1,3587,1,1.2868432998657229,3
14,1,1,2150,1,0.5972592830657959,3
10,1,1,1061,1,0.434112548828125,3
8,1,1,549,1,0.1949241161346435,3
7,1,1,467,1,0.2234201431274414,3
6,1,1,308,1,0.184669017791748,3
5,1,1,253,1,0.1430225372314453,3
5,1,1,251,1,0.2007720470428466,3
5,1,1,229,1,0.1647312641143798,3
6,1,1,389,1,0.1978988647460937,3
6,1,1,354,1,0.2230854034423828,3
7,1,1,570,1,0.2427728176116943,2
7,1,1,515,1,0.2205619812011718,3
8,1,1,616,1,0.2006189823150634,3
8,1,1,614,1,0.2268636226654052,3
10,1,1,1126,1,0.3046894073486328,3
10,1,1,1052,1,0.3404684066772461,3
14,1,1,2246,1,0.9257495403289796,3
14,1,1,2045,1,0.6003437042236328,3
17,1,1,3314,1,1.5360634326934814,3
17,1,1,3476,1,1.2487454414367676,3
20,1,1,4650,1,1.6650011539459229,3
20,1,1,4980,1,2.278259515762329,3
22,1,1,6043,1,2.6495728492736816,3
22,1,1,6065,1,3.1463751792907715,3
22,1,1,6033,1,3.511258125305176,3
25,1,1,8741,1,3.932652473449707,3
25,1,1,7776,1,3.965243816375733,3
25,1,1,7655,1,3.461902379989624,3
